"","topic","language","term","platform","done"
"0","La Palma volcano eruption","en","La Palma volcano eruption","youtube","True"
"1","La Palma volcano eruption","en","La Palma volcano eruption","dailymotion","True"
"2","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","youtube","True"
"3","La Palma volcano eruption","zh-cn","拉帕尔马火山喷发","dailymotion","True"
"4","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","youtube","True"
"5","La Palma volcano eruption","hi","ला पाल्मा ज्वालामुखी विस्फोट","dailymotion","True"
"6","La Palma volcano eruption","es","Erupción del volcán de la Palma","youtube","True"
"7","La Palma volcano eruption","es","Erupción del volcán de la Palma","dailymotion","True"
"8","La Palma volcano eruption","ar","ثوران بركان لا بالما","youtube","True"
"9","La Palma volcano eruption","ar","ثوران بركان لا بالما","dailymotion","True"
"10","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","youtube","True"
"11","La Palma volcano eruption","bn","লা পালমা আগ্নেয়গিরির অগ্ন্যুৎপাত","dailymotion","True"
"12","La Palma volcano eruption","fr","Éruption du volcan La Palma","youtube","True"
"13","La Palma volcano eruption","fr","Éruption du volcan La Palma","dailymotion","True"
"14","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","youtube","True"
"15","La Palma volcano eruption","ru","Извержение вулкана Ла Пальма","dailymotion","True"
"16","La Palma volcano eruption","pt","Erupção do vulcão La Palma","youtube","True"
"17","La Palma volcano eruption","pt","Erupção do vulcão La Palma","dailymotion","True"
"18","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","youtube","True"
"19","La Palma volcano eruption","ur","لا پالما آتش فشاں پھٹنا۔","dailymotion","True"
"20","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","youtube","True"
"21","La Palma volcano eruption","de","Vulkanausbruch auf La Palma","dailymotion","True"
"22","La Palma volcano eruption","jp","ラパルマ火山の噴火","youtube","True"
"23","La Palma volcano eruption","jp","ラパルマ火山の噴火","dailymotion","True"
"24","La Palma volcano eruption","id","Letusan gunung berapi La Palma","youtube","True"
"25","La Palma volcano eruption","id","Letusan gunung berapi La Palma","dailymotion","True"
"26","La Palma intensifies","en","La Palma intensifies","youtube","True"
"27","La Palma intensifies","en","La Palma intensifies","dailymotion","True"
"28","La Palma intensifies","zh-cn","拉帕尔马加剧","youtube","True"
"29","La Palma intensifies","zh-cn","拉帕尔马加剧","dailymotion","True"
"30","La Palma intensifies","hi","ला पाल्मा तेज करता है","youtube","True"
"31","La Palma intensifies","hi","ला पाल्मा तेज करता है","dailymotion","True"
"32","La Palma intensifies","es","La Palma se intensifica","youtube","True"
"33","La Palma intensifies","es","La Palma se intensifica","dailymotion","True"
"34","La Palma intensifies","ar","تكثف ""لا بالما""","youtube","True"
"35","La Palma intensifies","ar","تكثف ""لا بالما""","dailymotion","True"
"36","La Palma intensifies","bn","লা পালমা তীব্র হয়","youtube","True"
"37","La Palma intensifies","bn","লা পালমা তীব্র হয়","dailymotion","True"
"38","La Palma intensifies","fr","La Palma s'intensifie","youtube","True"
"39","La Palma intensifies","fr","La Palma s'intensifie","dailymotion","True"
"40","La Palma intensifies","ru","Ла Пальма усиливается","youtube","True"
"41","La Palma intensifies","ru","Ла Пальма усиливается","dailymotion","True"
"42","La Palma intensifies","pt","La Palma intensifica","youtube","True"
"43","La Palma intensifies","pt","La Palma intensifica","dailymotion","True"
"44","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","youtube","True"
"45","La Palma intensifies","ur","لا پالما شدت اختیار کرتا ہے۔","dailymotion","True"
"46","La Palma intensifies","de","La Palma intensiviert","youtube","True"
"47","La Palma intensifies","de","La Palma intensiviert","dailymotion","True"
